Subject,Topic,Subtopic,Question,Explanation,Option A,Option B,Option C,Option D,Correct Option
Endocrinology,Endocrine Disorders,Endocrine Surgery,"What is the probable diagnosis for a male patient, aged 23, who is experiencing a swelling in the midline of his neck that shifts when he swallows or sticks out his tongue?","Correct Option B - Thyroglossal cyst: → A thyroglossal cyst is a fibrous cyst that forms from a persistent thyroglossal duct. They are the most common type of congenital anomaly in the neck region. They typically present as a midline neck mass (in the region of the hyoid bone) that moves upward with swallowing or protrusion of the tongue. → Typically congenital, presenting between 15-30 years. → Predominantly found subhyoid, but may also occur suprahyoid, near thyroid cartilage, close to foramen cecum, or in the floor of the mouth. → Manifests as a midline swelling in the anterior neck, moves with swallowing and tongue protrusion.",Brachial cyst,Thyroglossal cyst,Plunging ranula,Dermoid cyst,B
Endocrinology,Endocrine Disorders,Endocrine Surgery,"What preoperative intervention can be administered to minimize intraoperative bleeding in a 32-year-old female patient diagnosed with Grave's disease, presenting with eye symptoms and an enlarged thyroid, who is scheduled to undergo a total thyroidectomy?","Correct Option A - Potassium iodide: → In the preoperative period of a patient with Graves' disease who is scheduled for a total thyroidectomy, the administration of potassium iodide can help reduce intraoperative bleeding. Potassium iodide is given to inhibit thyroid hormone synthesis and decrease the thyroid gland's vascularity. Reducing the blood supply to the thyroid gland can help minimize intraoperative bleeding during the surgical procedure.",Potassium iodide,Propranolol,Propylthiouracil,Betamethasone,A
Endocrinology,Endocrine Disorders,Endocrine Surgery,A 49 year old female presents with a breast lump. Which of the following findings is in accordance with basal – like breast cancer?,"Correct Option C - ER-, PR-, HER2+: → Basal-like breast cancer refers to a subtype of breast cancer that has specific molecular characteristics. → It is typically characterized by the absence of estrogen receptor (ER), progesterone receptor (PR), and human epidermal growth factor receptor 2 (HER2) expression, which is denoted as ER-, PR-, HER2-.","ER+, PR+, HER2-","ER+, PR-, HER2-","ER-, PR-, HER2-","ER-, PR-, HER2+",C
Endocrinology,Endocrine Disorders,Endocrine Surgery,Which of the following is not a contraindication for breast conservative surgery?,Correct Option A - Macromastia: → Macromastia is not a contraindication for breast conservative surgery. → It may be an indication for a more extensive surgery.,Macromastia,Extensive Tumor in medial regions,Prior chest irradiation,Pregnancy,A
Endocrinology,Endocrine Disorders,Endocrine Surgery,"What is the appropriate next step in managing a 37-year-old woman who is unmarried, has never given birth, is sexually active, and currently taking oral contraceptive pills, considering that her mother was diagnosed with breast cancer at the age of 60 and her older sister was diagnosed with ovarian cancer at 40?","Correct Option A - Genetic counseling and screening for BRCA: → Genetic counseling and screening for BRCA. → Given the patient's family history of breast and ovarian cancer, genetic counseling and screening for BRCA mutations would be the next line of management.",Genetic counseling and screening for BRCA,Routine mammography,Stop taking oral contraceptive pills,Prophylactic surgery,A
Endocrinology,Endocrine Disorders,Endocrine Surgery,A 52-year-old female patient presents with HER-2 positive breast cancer that has become resistant to trastuzumab treatment. The oncologist is considering the next line of treatment for the patient. Which of the following options would be the most appropriate choice?,"Correct Option A - Lapatinib: → Lapatinib is a targeted therapy that inhibits both HER-2 and EGFR (epidermal growth factor receptor) pathways. It is considered an effective treatment option for patients with HER-2 positive breast cancer who have developed resistance to trastuzumab, a monoclonal antibody targeting HER-2.",Lapatinib,Sorafenib,Vemurafenib,Erlotinib,A
Endocrinology,Endocrine Disorders,Endocrine Surgery,A 45-year-old woman with early-stage breast cancer is discussing treatment options with her surgeon. Which of the following statements regarding breast conservation surgery is NOT true?,"Correct Option D - Axillary dissection: In breast conservation surgery, axillary dissection is not routinely performed unless there is clinical or r adiological evidence of lymph node involvement. → Breast conservation surgery aims to remove the tumor while preserving as much of the breast tissue as possible. It typically involves wide local excision, which is the surgical removal of the tumor along with a margin of healthy tissue. This helps to ensure complete tumor removal while maintaining the cosmetic appearance of the breast. → However, the extent of lymph node involvement plays a crucial role in determining the further management and prognosis of breast cancer. If there is suspicion or evidence of lymph node involvement, further assessment is necessary to determine the extent of the disease and guide treatment decisions. → Axillary dissection involves the removal of lymph nodes in the axilla for pathological examination. It provides information about the presence or absence of cancer cells in the lymph nodes and helps in staging the disease. → However, axillary dissection is associated with potential complications such as lymphedema and decreased shoulder mobility. → To minimize the morbidity associated with axillary dissection, the concept of sentinel lymph node biopsy has emerged. → It involves the identification and removal of the first few lymph nodes that receive drainage from the breast tumor. → If the sentinel lymph nodes are negative for cancer cells, it indicates a low likelihood of axillary lymph node involvement, and further axillary dissection may be avoided.",Wide local excision,Post-operative radiotherapy,Lymph node dissection,Axillary dissection,D
Endocrinology,Endocrine Disorders,Endocrine Surgery,"A 55-year-old female presents with a breast lump and is seeking medical evaluation. On examination, a palpable mass is detected in the breast. Which of the following conditions is not associated with the development of breast cancer?","Correct Option D - Multiparity: → Multiparity refers to the condition of having given birth to multiple children. → Several studies have indicated that women who have given birth to multiple children have a reduced risk of breast cancer compared to nulliparous women (women who have never given birth). → The protective effect of multiparity is thought to be due to hormonal changes that occur during pregnancy and breastfeeding, which may have a protective effect against the development of breast cancer.",Alcohol intake,Late menopause,Hormone replacement therapy:,Multiparity,D
Endocrinology,Endocrine Disorders,Endocrine Surgery,"Gynecomastia is seen in all, Except (or) A 68-year-old male presents with breast enlargement and tenderness without a substance abuse history. Examination shows visibly enlarged breasts with palpable tissue beneath the nipples. What is the least likely cause of his gynecomastia?","Correct Option D - Prostate cancer: → Prostate cancer: Prostate cancer is a malignant tumor that develops in the prostate gland. Although hormonal imbalances can occur in advanced prostate cancer, gynecomastia is not a common manifestation of this condition. → The growth of prostate cancer is primarily driven by testosterone, and gynecomastia is more commonly associated with an imbalance between estrogen and testosterone levels. Therefore, gynecomastia is not typically seen in prostate cancer.",Klinefelter syndrome,Liver cirrhosis,Hypothyroidism,Prostate cancer,D
Endocrinology,Endocrine Disorders,Endocrine Surgery,"In MEN 1 syndrome, where is the most frequent occurrence of gastrinoma observed?","Correct Option C - Duodenum: → The duodenum is the most common site of gastrinoma in MEN 1 syndrome. → Gastrinomas arising in the duodenum can cause a condition called Zollinger-Ellison syndrome, characterized by excessive gastric acid production and the development of peptic ulcers. → MEN 1 syndrome, also known as Multiple Endocrine Neoplasia type 1, is a hereditary condition characterized by the development of tumors in multiple endocrine glands. → Gastrinomas are one type of tumor associated with MEN 1 syndrome. → Gastrinomas are neuroendocrine tumors that produce excessive amounts of gastrin, a hormone that stimulates the secretion of gastric acid.",Jejunum,Ileum,Duodenum,Stomach,C
Endocrinology,Endocrine Disorders,Endocrine Surgery,Which statement regarding retrosternal goitre is accurate?,"Correct Option D - Most of the retrosternal goiters can be removed by a neck incision: → Retrosternal goiter refers to an enlarged thyroid gland that extends into the chest, behind the sternum (breastbone). → A neck incision (cervical approach) is the most common method of removing retrosternal goiters. → This approach provides access to the lower part of the goiter and allows for its safe removal without a sternal incision.",Operated in all patients regardless of symptoms,Sternal incision is always required to operate,It receives blood supply from the thoracodorsal artery,Most of the retrosternal goiters can be removed by a neck incision,D
Endocrinology,Endocrine Disorders,Endocrine Surgery,"What could be the reason for lethargy and fatigue in a 15-year-old boy who has undergone bilateral adrenalectomy for pheochromocytoma, with no signs of bleeding, and blood pressure measuring 80/60 mm Hg on the third day after surgery?","Correct Option A - Addisonian crisis: → The most likely cause of the patient's symptoms of lethargy and hypotension on postoperative day 3 is an Addisonian crisis (also known as an adrenal crisis). → An Addisonian crisis refers to acute adrenal insufficiency that occurs due to the sudden withdrawal or absence of glucocorticoids and mineralocorticoids, essential hormones produced by the adrenal glands. → In this case, the bilateral adrenalectomy has removed both adrenal glands, leading to a complete deficiency of adrenal hormones. → The symptoms of an Addisonian crisis include profound fatigue, hypotension, dizziness, weakness, nausea, vomiting, abdominal pain, and electrolyte imbalances.",Addisonian crisis,SIADH,Diabetes insipidus,Cerebral salt wasting disease,A
Endocrinology,Endocrine Disorders,Endocrine Surgery,Best prognosis among the following breast cancer subtypes is for:,Correct Option A - Luminal A: → Most common type is Liminal-A/Lum-A. → Lum-A has the best prognosis. → HER-2-NEU type has the worst prognosis. → Luminal A subtype is the subtype with good prognosis and is only 50 % invasive. Luminal-A subtype is defined as ER-positive and/or PR-positive tumors with negative HER2 and low Ki67 (proliferating cell nuclear antigen) index by immunohistochemistry.,Luminal A,Luminal B,ER negative,Basal like,A
Endocrinology,Endocrine Disorders,Endocrine Surgery,Fluorescence in-situ hybridization (FISH) is required in which of the following interpretations of HER2/NEU?,"Correct Option B - 2+: → Fluorescence in-situ hybridization (FISH) is required for the interpretation of HER2/NEU 2+. → HER2/NEU scoring system typically includes 0, 1+, 2+, and 3+. → When the immunohistochemistry (IHC) staining for HER2/NEU yields a score of 2+, it falls into the equivocal range, meaning it's neither definitively negative nor positive. → In such cases, FISH is performed to further analyze the HER2/NEU gene amplification status. → FISH determines whether there is amplification of the HER2/NEU gene, which would confirm the presence of HER2/NEU overexpression and thus render the test positive. → Therefore, FISH is essential for accurately determining the status of HER2/NEU in cases where the IHC result is 2+.",1+,2+,3+,All of the above,B
Endocrinology,Endocrine Disorders,Endocrine Surgery,Parathyroid gland post-surgery is commonly transferred to?,"Correct Option D - Brachioradialis: → In cases of parathyroid surgery, particularly in hyperparathyroidism caused by parathyroid hyperplasia, if a gland needs to be removed, it's common practice to transplant a portion of the remaining gland to ensure adequate parathyroid function. → The parathyroid tissue is typically divided into small pieces and transplanted into the brachioradialis muscle of the patient's non-dominant arm. → This transplantation allows the parathyroid tissue to continue its function of regulating calcium levels in the body.",Triceps,Biceps,Sartorius,Brachioradialis,D
Endocrinology,Endocrine Disorders,Endocrine Surgery,"What is the name of the procedure in which a probe is inserted into the duct from which the discharge is emerging, followed by making a tennis racquet incision and dissecting the flap to reach the duct, and finally excising the duct?",Correct Option B: Microdochectomy → It refers to the surgical removal of a single lactiferous duct or a small segment of the duct in the breast. → This procedure is typically performed when there is a persistent nipple discharge or abnormality in a specific duct in duct ectasia and duct papilloma.,Macrodochectomy,Microdochectomy,Cone excision,Wide excision of the lactiferous duct,B
Endocrinology,Endocrine Disorders,Endocrine Surgery,Extra mammary Paget’s disease is commonly seen in the:,"Correct Option A - Vulva: → Extra mammary Paget's disease refers to the presence of Paget's disease of the skin occurring outside the mammary (breast) region. → It commonly affects the vulva, which is the external female genitalia. → Extra mammary Paget's disease of the vulva is a rare condition characterized by the presence of Paget cells in the skin of the vulva, causing symptoms such as itching, redness, and skin changes. Incorrect Options Option B , C & D: Extra mammary Paget's disease is not commonly seen in the vagina, uterus and cervix.",Vulva,Vagina,Uterus,Cervix,A
Endocrinology,Endocrine Disorders,Endocrine Surgery,What risks are associated with the initiation of tamoxifen in a patient diagnosed with unilateral breast cancer?,"Correct Option B - Endometrial cancer: → Tamoxifen is a selective estrogen receptor modulator (SERM) commonly used in the treatment of hormone receptor-positive breast cancer. While tamoxifen provides benefits in reducing the risk of breast cancer recurrence and mortality, it is associated with certain side effects, including an increased risk of endometrial cancer. → Tamoxifen has both estrogen agonist and antagonist effects depending on the target tissue. In breast tissue, it acts as an antagonist, blocking the estrogen receptors and inhibiting the growth-promoting effects of estrogen. However, in the endometrium (lining of the uterus), tamoxifen acts as an estrogen agonist, stimulating the growth of the endometrial cells. → Prolonged tamoxifen use can lead to endometrial hyperplasia, a condition characterized by excessive growth of the endometrium. Over time, this can progress to endometrial cancer in some cases. The risk of endometrial cancer is higher in postmenopausal women, especially those receiving tamoxifen for more extended periods. Tamoxifen is a selective estrogen receptor modulator (SERM) commonly used in the treatment of horm one receptor-positive breast cancer. While tamoxifen provides benefits in reducing the risk of breast ca ncer recurrence and mortality, it is associated with certain side effects, including an increased risk of e ndometrial cancer. Tamoxifen has both estrogen agonist and antagonist effects depending on the target tissue. In breast ti ssue, it acts as an antagonist, blocking the estrogen receptors and inhibiting the growth-promoting effe cts of estrogen. However, in the endometrium (lining of the uterus), tamoxifen acts as an estrogen ago nist, stimulating the growth of the endometrial cells. Prolonged tamoxifen use can lead to endometrial hyperplasia, a condition characterized by excessive growth of the endometrium. Over time, this can progress to endometrial cancer in some cases. The ris k of endometrial cancer is higher in postmenopausal women, especially those receiving tamoxifen for more extended periods.",Ovarian cancer,Endometrial cancer,Breast cancer on other side,Cervical cancer,B
Endocrinology,Endocrine Disorders,Endocrine Surgery,Which of the following is not included in the Van Nuys grading system for ductal carcinoma in situ?,"Correct Option C: Hormone receptor staining → The Van Nuys grading system for DCIS does not consider hormone receptor staining as one of the parameters to assess the tumor. → Hormone receptor status, including estrogen receptor (ER) and progesterone receptor (PR) staining, is relevant in determining the treatment options for DCIS. Scoring system for University of Southern California/Van Nuys Prognostic Index",Age of the patient,Size of the tumor,Hormone receptor staining,Comedo-type necrosis,C
Endocrinology,Endocrine Disorders,Endocrine Surgery,What is the drug used for estrogen dependant breast cancer?,"Correct Option C - Tamoxifen: → Estrogen has positive effects on breast cancer cells. → In pre-menopausal patients, the drug of choice (DOC) for hormonal therapy is Tamoxifen. → Tamoxifen works as a selective estrogen receptor modulator (SERM). → It has potent antagonistic action on breast cancer cells and blood vessels. → The recommended dose is 10 mg twice daily for 5 years. → Tamoxifen also has a partial agonistic effect on certain tissues such as the pituitary, bone, uterus, and liver. → It is avoided in post-menopausal patients due to its increased risk of endometrial cancer. → Tamoxifen helps prevent estrogen from binding to estrogen receptors on breast cancer cells, thereby inhibiting their growth.",Lapatinib,Sunitinib,Tamoxifen,Adriamycin,C
Endocrinology,Endocrine Disorders,Endocrine Surgery,Which of the following is the most common surgical approach for a retrosternal goiter?,Correct Option: D) Cervical incision → Cervical incision is the most common surgical approach for retrosternal goiter because the vascular supply of the thyroid primarily comes from vessels in the cervical region. → Thyroidectomy via cervical incision allows direct access to the retrosternal goiter while minimizing the risk of damaging important structures in the mediastinum.,Mediastinal incision,Subxiphoid incision,Transaxillary incision,Cervical incision,D
Endocrinology,Endocrine Disorders,Endocrine Surgery,Which of the following is the most common surgical approach for a retrosternal goiter?,Correct Option D - Cervical incision: → Cervical incision is the most common surgical approach for retrosternal goiter because the vascular supply of the thyroid primarily comes from vessels in the cervical region. → Thyroidectomy via cervical incision allows direct access to the retrosternal goiter while minimizing the risk of damaging important structures in the mediastinum. Cervical incision is the most common surgical approach for retrosternal goiter because the vascular su pply of the thyroid primarily comes from vessels in the cervical region. Thyroidectomy via cervical incision allows direct access to the retrosternal goiter while minimizing the ri sk of damaging important structures in the mediastinum.,Mediastinal incision,Subxiphoid incision,Transaxillary incision,Cervical incision,D
Endocrinology,Endocrine Disorders,Endocrine Surgery,"A female patient presents with a breast abscess. Under antibiotic cover, an aspiration was attempted which failed to reveal any aspirate. What is the next step in management?","Correct Option C - Incision and drainage + Antibiotics : → In some cases, the first attempt at aspiration may not successfully collect any fluid due to various factors such as the location or depth of the abscess, the presence of loculations, or the consistency of the fluid. A second attempt should be made with an incision and drainage + antibiotics.",Incision and Drainage,Continue antibiotics only,Incision and drainage + Antibiotics,Stop antibiotics as no aspirate was collected,C
Endocrinology,Endocrine Disorders,Endocrine Surgery,"A 30-year-old lactating mother presents with pain in her left breast and a fever. On examination of the affected side, there is localized erythema, warmth, and point tenderness, and fluctuation test is positive. Mild axillary lymphadenopathy is on the affected side, and the contralateral breast is normal. What is the most likely diagnosis for this patient?","Correct Option C - Breast abscess: → The clinical presentation of a lactating mother with pain in the left breast, fever, localized erythema, warmth, and point tenderness, along with a positive fluctuation test, indicates the presence of a breast abscess. → Breast abscess commonly occurs in lactating females, especially primiparous women, and is often a consequence of improper breastfeeding technique, leading to milk stasis and subsequent infection. → Staphylococcus aureus is the most common causative organism responsible for breast abscesses. → The presence of mild axillary lymphadenopathy on the affected side further supports the diagnosis. → Treatment involves incision and drainage of the abscess along with appropriate antibiotic therapy. First-line agents are typically Cloxacillin or Dicloxacillin administered for 10-14 days.",Lactational mastitis,Breast carcinoma,Breast abscess,Fibroadenoma,C
Endocrinology,Endocrine Disorders,Endocrine Surgery,Which is the most conspicuous sign of breast cancer ?,"Correct Option B - Peau d’orange: → Peau d'orange refers to the appearance of the breast skin resembling the texture of an orange peel. → It occurs due to the buildup of fluid in the breast tissue and is often caused by blocked lymphatic channels. → Peau d'orange can be a significant sign of inflammatory breast cancer, which is an aggressive form of breast cancer. → It is characterized by rapid changes in the breast, including redness, warmth, swelling, and the peau d'orange appearance. → Therefore, it is considered a more conspicuous sign of breast cancer compared to nipple retraction or puckering.",Nipple retraction,Peau d’orange,Puckering,Both nipple retraction and puckering,B
Endocrinology,Endocrine Disorders,Endocrine Surgery,What is the most effective treatment for a 27-year-old woman who is 26 weeks pregnant and has been diagnosed with papillary carcinoma of the thyroid?,"Correct Option B - Total thyroidectomy: → Papillary carcinoma of the thyroid is the most common type of thyroid cancer and typically has an excellent prognosis. → The treatment of choice for papillary carcinoma of the thyroid, especially in a young patient with a significant tumor burden, is a total thyroidectomy. → This surgical intervention ensures complete removal of the thyroid gland, which is the primary site of the cancer.",Thyroid ablation using radioactive Iodine,Total thyroidectomy,Observation,Hemi-thyroidectomy,B
Endocrinology,Endocrine Disorders,Endocrine Surgery,What is the most effective method for diagnosing pheochromocytoma among the following options?,"Correct Option B - 24-hour urinary Fractionated Metanephrine: → Pheochromocytoma is a rare neuroendocrine tumor arising from chromaffin cells of the adrenal medulla or sympathetic ganglia. It secretes catecholamines, including epinephrine, norepinephrine, and dopamine, leading to characteristic symptoms like hypertension, headaches, palpitations, and sweating. → The diagnosis of pheochromocytoma involves biochemical testing to measure levels of catecholamines and their metabolites. → Fractionated metanephrines, including metanephrine and normetanephrine, are the most sensitive and specific tests for diagnosing pheochromocytoma. → Fractionated metanephrines are measured in a 24-hour urine collection to provide an accurate reflection of catecholamine production over time. → Elevated levels of fractionated metanephrines indicate excess catecholamine secretion, supporting the diagnosis of pheochromocytoma.",24-hour urinary Vanillylmandelic acid,24-hour urinary Fractionated Metanephrine,24-hour Urinary Hydroxy indole acetic acid,24-hour Urinary Hydroxy tryptamine,B
Endocrinology,Endocrine Disorders,Endocrine Surgery,Which of the following does not classify as locally advanced breast cancer?,"Correct Option A - Tumor less than 4 cm: → Locally advanced breast cancer (LABC) typically refers to breast cancer that has spread beyond the breast to nearby tissues but has not yet metastasized to distant organs. Locally advanced breast cancer (LABC) encompasses stages IIIA, IIIB, and IIIC. → In the staging of breast cancer, tumor size is an important factor. Generally, tumors larger than 5 cm (T3 or T4 tumors) are considered locally advanced.",Tumor less than 4 cm,Inflammatory breast cancer,Chest wall involvement,Skin involvement,A
Endocrinology,Endocrine Disorders,Endocrine Surgery,Match the correct answer related to the nerve injuries in various surgeries:,"Correct Option D - A-4, B-1, C-2, D-3: → A. Breast surgery - 4. Long Thoracic Nerve: The long thoracic nerve innervates the serratus anterior muscle, which stabilizes the scapula. Injury to the long thoracic nerve can result in winging of the scapula, causing weakness in shoulder abduction and upward rotation. → B. Thyroid surgery - 1. External Laryngeal nerve: The external laryngeal nerve supplies the cricothyroid muscle responsible for vocal cord tension. Damage to the external laryngeal nerve can lead to hoarseness and difficulty in pitch modulation. → C. Submandibular excision - 2. Hypoglossal nerve: The hypoglossal nerve controls the movement of the tongue. Injury to the hypoglossal nerve can result in tongue weakness, deviation towards the affected side, and difficulty speaking and swallowing. → D. Thymectomy - 3. Vagus nerve: The vagus nerve has various branches and functions, including innervating the vocal cords. Injury to the vagus nerve can lead to hoarseness, vocal cord paralysis, and swallowing difficulties.",Breast surgery 1. External Laryngeal nerve,Thyroid surgery 2. Hypoglossal nerve,Submandibular excision 3. Vagus nerve,"Thymectomy 4. Long Thoracic Nerve A. Breast surgery 1. External Laryngeal nerve B. Thyroid surgery 2. Hypoglossal nerve C. Submandibular excision 3. Vagus nerve D. Thymectomy 4. Long Thoracic Nerve A. A-1, B-2, C-3, D-4 B. A-2, B-3, C-4, D-1 C. A-3, B-4, C-1, D-2 D. A-4, B-1, C-2, D-3",D
Endocrinology,Endocrine Disorders,Endocrine Surgery,"During thyroid surgery, which nerve is the least likely to sustain injury among the following options?","Correct Option D - Marginal mandibular nerve: → Thyroid surgery involves the removal or partial removal of the thyroid gland. During the procedure, there is a risk of injury to nearby nerves, which can result in various complications. → The marginal mandibular nerve is the nerve branch of the facial nerve that supplies the muscles of the lower lip and chin. It is not directly involved or at risk during thyroid surgery, as it is not in close proximity to the thyroid gland. Thyroid surgery involves the removal or partial removal of the thyroid gland. During the procedure, ther e is a risk of injury to nearby nerves, which can result in various complications. The marginal mandibular nerve is the nerve branch of the facial nerve that supplies the muscles of the l ower lip and chin. It is not directly involved or at risk during thyroid surgery, as it is not in close proximit y to the thyroid gland.",Recurrent laryngeal nerve,Cervical sympathetic trunk,External laryngeal nerve,Marginal mandibular nerve,D
Endocrinology,Endocrine Disorders,Endocrine Surgery,What is the condition most commonly associated with elevated TSH levels and decreased T4 levels?,"Correct Option D - Hashimoto's thyroiditis: → Hashimoto's thyroiditis is an autoimmune disorder where the body's immune system mistakenly attacks the thyroid gland, leading to chronic inflammation and destruction of thyroid tissue. → This results in decreased production of thyroid hormones, including T4. As a compensatory mechanism, the pituitary gland releases more TSH to stimulate the thyroid gland, causing increased TSH levels.",Hypoparathyroidism,Pituitary Adenoma,Grave's disease,Hashimoto's thyroiditis,D
Endocrinology,Endocrine Disorders,Endocrine Surgery,"A 40-year-old woman presents with complaints of swelling of the right breast over the past 15 days. On examination, there was local rise of temperature, and the lump was mobile over the chest wall. What is the likely diagnosis?","Correct Option A - Inflammatory carcinoma: → The clinical presentation includes a rapid onset of swelling, redness, warmth, and sometimes pain in the affected breast, making it a case of Inflammatory breast cancer. → Inflammatory breast cancer (IBC), also known as mastitis carcinomatosa, is an aggressive form of breast cancer characterized by inflammatory changes in the breast tissue. → Unlike other types of breast cancer, IBC may not always present with a palpable lump unlike in this case. Instead, the breast may appear swollen and red and have an ""orange peel"" texture due to skin involvement. → In IBC, more than one-third of the breast skin or more than 33% of the breast is involved by inflammatory changes. → The stage of IBC is usually T4d, which corresponds to stage III breast cancer. This indicates locally advanced disease with a poor prognosis.",Inflammatory carcinoma,Giant fibroadenoma,Phyllodes tumor,Galactocele,A
Endocrinology,Endocrine Disorders,Endocrine Surgery,Choose from the following the typical trigger for thyroid storm following thyroidectomy:,"Correct Option C - Inadequate patient preparation: → Inadequate patient preparation, such as insufficient control of thyroid hormone levels before surgery, can contribute to the occurrence of thyroid storm. Patients with poorly controlled hyperthyroidism or Graves' disease are at a higher risk of developing thyroid storm during or after thyroidectomy.",Rough handling of thyroid during surgery,Due to parathyroid gland,Inadequate patient preparation,Infections,C
Endocrinology,Endocrine Disorders,Endocrine Surgery,"Which type of thyroid cancer is often associated with a history of radiation exposure and Increased RET/ PTC rearrangements and BRAF mutations? (or) What kind of thyroid cancer is frequently linked to prior radiation exposure, elevated RET/PTC rearrangements, and BRAF mutations?","Correct Option B - Papillary Carcinoma: → Frequently Linked Factors: Prior Radiation Exposure: Low-dose radiation exposure during childhood is a significant risk factor. Elevated RET/PTC Rearrangements: This genetic rearrangement is commonly found in papillary thyroid carcinoma. BRAF Mutations: BRAF mutations are also frequently associated with papillary thyroid carcinoma. → Prior Radiation Exposure: Low-dose radiation exposure during childhood is a significant risk factor. → Elevated RET/PTC Rearrangements: This genetic rearrangement is commonly found in papillary thyroid carcinoma. → BRAF Mutations: BRAF mutations are also frequently associated with papillary thyroid carcinoma. → Pathology Features: Papillary projections are characteristic. Optically clear nuclei, also known as ""Orphan Annie eye nuclei,"" are observed. Pseudo inclusion bodies and dystrophic calcification (Psammoma Bodies) are present. → Papillary projections are characteristic. → Optically clear nuclei, also known as ""Orphan Annie eye nuclei,"" are observed. → Pseudo inclusion bodies and dystrophic calcification (Psammoma Bodies) are present. → Clinical Features: Midline swelling in the anterior part of the neck is typical. Lateral aberrant thyroid may be present, leading to palpable cervical lymph nodes. Metastatic deposits from papillary carcinoma thyroid can be identified via FNAC. → Midline swelling in the anterior part of the neck is typical. → Lateral aberrant thyroid may be present, leading to palpable cervical lymph nodes. → Metastatic deposits from papillary carcinoma thyroid can be identified via FNAC. → Prior Radiation Exposure: Low-dose radiation exposure during childhood is a significant risk factor. → Elevated RET/PTC Rearrangements: This genetic rearrangement is commonly found in papillary thyroid carcinoma. → BRAF Mutations: BRAF mutations are also frequently associated with papillary thyroid carcinoma. → Papillary projections are characteristic. → Optically clear nuclei, also known as ""Orphan Annie eye nuclei,"" are observed. → Pseudo inclusion bodies and dystrophic calcification (Psammoma Bodies) are present. → Midline swelling in the anterior part of the neck is typical. → Lateral aberrant thyroid may be present, leading to palpable cervical lymph nodes. → Metastatic deposits from papillary carcinoma thyroid can be identified via FNAC.",Follicular carcinoma,Papillary carcinoma,Anaplastic carcinoma,Medullary carcinoma,B
Endocrinology,Endocrine Disorders,Endocrine Surgery,"(or) A 45-year-old woman comes to the OPD with a history of a lump in the left breast. On clinical examination, the size of the lump in the left breast is 9x10 cm with the following appearance and no axillary lymphadenopathy. The histopathology of the biopsy from the lump shows increased stromal cellularity, and typical leaflike architecture. What is your likely diagnosis?","Correct Option A - Phyllodes tumor: → Phyllodes tumors, also known as cystosarcoma phyllodes, are rare breast tumors that arise from the stromal tissue of the breast. → They can present as a palpable lump in the breast, and on clinical examination, they may exhibit large size, as in this case (9x10 cm). → Phyllodes tumors are characterized by increased stromal cellularity and a leaflike architecture on histopathology. → They are typically benign but can have malignant features in some cases.",Phyllodes tumour,Giant fibroadenoma,Inflammatory carcinoma,Ductal carcinoma,A
Endocrinology,Endocrine Disorders,Endocrine Surgery,Which of the following is the most common cause of thyroid storm following thyroidectomy?,"Correct Option C - Inadequate patient preparation: → Inadequate patient preparation, such as insufficient control of thyroid hormone levels before surgery, can contribute to the occurrence of thyroid storm. Patients with poorly controlled hyperthyroidism or Graves' disease are at a higher risk of developing thyroid storm during or after thyroidectomy. Inadequate patient preparation, such as insufficient control of thyroid hormone levels before surgery, c an contribute to the occurrence of thyroid storm. Patients with poorly controlled hyperthyroidism or Gra ves' disease are at a higher risk of developing thyroid storm during or after thyroidectomy. Incorrect Option: Option A - Rough handling of thyroid during surgery: While rough handling of the thyroid during surgery can potentially cause complications such as bleeding or damage to surrounding structures, it is not the usual cause of thyroid storm. Thyroid storm refers to a life-threatening condition characterized by an e xaggerated hypermetabolic state, and it is typically related to the release of excessive thyroid hormone s into the bloodstream. Option B - Due to parathyroid gland: The parathyroid glands are small glands located near the thyroid gland. Their primary function is to regulate calcium levels in the body. While complications related to th e parathyroid glands can occur during thyroid surgery, they are not the usual cause of thyroid storm. T hyroid storm is specifically associated with the overproduction of thyroid hormones, not parathyroid hor mone. Option D - Infections: Infections, such as surgical site infections, can be a complication of thyroid surge ry. However, they are not typically associated with the development of thyroid storm. Infections may ca use local symptoms and complications but are not the primary cause of the systemic hypermetabolic st ate seen in thyroid storm.",Rough handling of thyroid during surgery,Due to parathyroid gland,Inadequate patient preparation,Infections,C
Endocrinology,Endocrine Disorders,Endocrine Surgery,In which of the following locations is the dye injected for Sentinel Lymph Node Biopsy?,"Correct Option D - Areola: → In sentinel lymph node biopsy (SLNB), a dye is injected near the site of the primary tumor to identify the sentinel lymph node(s) draining that area. The sentinel lymph node is the first lymph node in the lymphatic system that receives drainage from the tumor site, and it is the most likely node to contain metastatic cancer cells if they have spread. → In breast cancer, the dye for SLNB is commonly injected in or around the areola. The areola is the pigmented area surrounding the nipple. By injecting the dye in this location, it can flow through the lymphatic channels and reach the sentinel lymph node(s) in the axilla (armpit).",Axilla,Tail of spence,Nipple,Areola,D
Endocrinology,Endocrine Disorders,Endocrine Surgery,Most common benign breast tumour:,"Correct Option A - Fibroadenoma: → Fibroadenoma is the most common benign breast tumor. → It is a non-cancerous growth that typically occurs in young women. → Fibroadenomas are composed of glandular and fibrous tissue and usually feel like a firm, rubbery mass that is smooth and movable. → They are usually painless and do not increase the risk of developing breast cancer.",Fibroadenoma,Fibroadenosis,DCIS,Phyllodes tumour,A
