Subject,Topic,Subtopic,QuestionText,Explanation,OptionA,OptionB,OptionC,OptionD,CorrectOpt
Ophthalmology,Lens Disorders,Diseases Of Lens,"What is the primary risk factor associated with the diagnosis of a 37-year-old man with hypertension and diabetes, who is experiencing symptoms of blurred vision, photophobia, and increasing pain in his right eye? He has been wearing contact lenses for the past two years and mentions swimming in a local pond with his cousins two weeks ago.","The most important risk factor for the patient's diagnosis in this case is ""Contact lenses."" Explanation of the options: Option A: Diabetes: While diabetes is a significant risk factor for various eye conditions such as diabetic retinopathy, it is not the most important risk factor in this particular case. The patient's symptoms and history suggest a different condition related to contact lens use. Option B: Hypertension: Hypertension is generally associated with conditions like hypertensive retinopathy but is less relevant in the context of corneal ulcers and contact lens wear. Option C: Low immune status: Although a low immune status could contribute to the development of various infections, in the context of contact lens wear, it is the direct association with bacterial keratitis that is most critical. Option D: Contact lenses: Contact lens wear significantly increases the risk of corneal infections, particularly if proper hygiene and care are not followed. This is especially true for soft contact lenses, which can harbor bacteria and lead to conditions like bacterial keratitis. In this case, the patient's contact lens use is the most important risk factor for their diagnosis.",A. Diabetes,B. Hypertension,C. Previous respiratory infection,D. Contact lenses,D
Ophthalmology,Lens Disorders,Diseases Of Lens,"Riya was found to have a height of more than 95 percentile for her age and an arm-span to height ratio of more that 1.05. on further examination, she had flat feet, mild scoliosis, and long slender fingers. An image of her showing characteristic signs is provided below. What is the most common ocular complication expected in this child?","This patient has been diagnosed with a central retinal vein occlusion (CRVO), leading to the observed swelling and appearance of the fundus. Explanation: In CRVO, the central retinal vein becomes occluded, leading to increased venous pressure and subsequent retinal hemorrhages, edema, and cotton wool spots. The most common causes include atherosclerosis, hypertension, and diabetes. The presence of edema suggests that the occlusion has resulted in leakage from retinal capillaries, contributing to the fundus appearance described in the question. The presence of a ""blood and thunder"" appearance on the fundus, with diffuse retinal hemorrhages and exudates, is characteristic of CRVO. Incorrect Choices: Option B: Hypertensive retinopathy: While hypertension can lead to retinal vascular changes, it would typically present with different fundus findings such as retinal hemorrhages and exudates due to ischemia rather than the appearance seen here. Option C: Diabetic retinopathy: This condition involves retinal damage due to diabetes, presenting with microaneurysms, retinal hemorrhages, and neovascularization rather than a sudden and diffuse pattern of edema. Option D: Macular degeneration: This condition primarily affects the macula and is characterized by drusen and geographic atrophy or neovascularization, which does not align with the presentation of a central retinal vein occlusion.",A. Hypertensive retinopathy,B. Rosette cataract,C. Retinitis pigmentosa,D. Subluxation of lens,B
Ophthalmology,Lens Disorders,Diseases Of Lens,What is the term used to describe the type of cataract shown in the slit lamp examination findings of a patient who has been taking corticosteroids for a long time?,"In the above given case, the patient has a history of long standing use of steroids. The given image of slit lamp examination shows granular appearance in the lens which indicates that it is a case of posterior subcapsular cataract. Chronic steroid use is one of the commonest causes of posterior subcapsular cataract. Incorrect Choices: Option A: In Morgagnian hypermature cataract, the whole cortex liquifies and the lens is converted into a bag of milky fluid. Option C: Sunflower cataract is associated with Wilson’s disease, copper deposition and penetrating trauma. Option D: Snowflake cataract is seen in diabetes mellitus and in Down’s syndrome.",A. Morgagnian hypermature cataract,B. Posterior subcapsular cataract,C. Sunflower cataract,D. Snowflake cataract,B
Ophthalmology,Lens Disorders,Diseases Of Lens,"What is the appropriate approach to treating a patient who presents with pain and visual disturbance 36 hours after undergoing cataract surgery, with an image of their eye provided below?","Given image of eye shows inflammation, congestion and hypopyon and diagnosis is endophthalmitis. The correct management option for endophthalmitis. Endophthalmitis refers to an infection within the eye, which is a serious complication that can occur after cataract surgery. Prompt treatment is necessary to prevent further damage and preserve vision. Intravitreal antibiotics are the mainstay of treatment for endophthalmitis. They involve injecting antibiotics directly into the vitreous cavity of the eye, which allows for high concentrations of the medication to reach the site of infection and combat the causative organisms. Incorrect Options: Option A: Intravenous steroids- The use of intravenous steroids is not the primary approach for the management of endophthalmitis. Steroids are given intravitreally and topically. Option B: Intravenous antibiotics- Intravitreal antibiotics provide a more direct and targeted approach to deliver high concentrations of antibiotics to the site of infection. Option C: Bandage and padding of the eye- Bandaging and padding the eye may provide comfort and protection in certain eye conditions, but they do not address the underlying infection in endophthalmitis. Prompt administration of antibiotics directly into the eye is necessary to combat the infection.",A. Intravenous steroids,B. Intravenous antibiotics,C. Bandage and padding of the eye,D. Intravitreal antibiotics,D
Ophthalmology,Lens Disorders,Diseases Of Lens,The following image depicts a particular type of cataract. what is the most common cause of this cataract?,"Option D: Blunt Trauma: Blunt trauma refers to injuries caused by a direct blow or impact to the eye without penetration. Blunt trauma can result in damage to the lens, leading to the development of cataracts, including rosette cataract. Option A: Penetrating Trauma: Penetrating trauma refers to injuries that result in the direct penetration of an object into the eye, causing damage to the lens. Penetrating trauma can disrupt the normal structure of the lens but do not cause rosette cataract. Option B: Steroid Use: Prolonged or excessive use of corticosteroid medications, either in the form of eye drops or systemic administration, can increase the risk of developing cataracts but do not cause rosette cataracts. Option C: Diabetes: Diabetes but do not cause rosette cataract.",A. Penetrating trauma,B. Steroid use,C. Diabetes,D. Blunt trauma,D
Ophthalmology,Lens Disorders,Diseases Of Lens,A 65-year-old diabetic woman presents with painless loss of vision. The ocular findings are shown in the image below. What is the likely diagnosis and management for this patient?,"The patient's painless loss of vision, in conjunction with the findings on the ocular examination i.e., clouding of lens in cuneiform pattern is consistent with an immature senile cataract. Diabetic patients are at an increased risk of developing cataracts, and the patient's age of 65 is also a common time for cataracts to develop. The management of immature senile cataracts involves surgical intervention, with phacoemulsification and intraocular lens (IOL) implantation being the preferred method. Phacoemulsification is a minimally invasive procedure in which the cloudy lens is broken into small pieces using ultrasound waves and then removed from the eye through a small incision. An IOL is then inserted to replace the removed lens and restore the patient's vision. Incorrect Options: Option A - Zonular cataract and lensectomy: A zonular cataract is a type of congenital cataract that affects the lens zonules, which are fibers that hold the lens in place. This type of cataract requires a lensectomy, which is the surgical removal of the entire lens. Option B - Rosette cataract and sugar control: Rosette cataracts are rare and occur after blunt trauma to the eye. This type of cataract can be managed by phacoemulsification, and sugar control would not be relevant in this case. Option C - Sunflower cataract and lesion extraction: Sunflower cataracts are caused due to any copper-containing foreign body or Wilson's disease. Lesion extraction is not an appropriate treatment for this type of cataract. Treatment of the underlying cause is preferred (copper chelating agents).",A. Zonular cataract and lensectomy,B. Rosette cataract and sugar control,C. Sunflower cataract and lesion extraction,D. Immature senile cataract and phacoemulsification with IOL,D
ENT,Ear,Ear,Identify the structure in the image.,"The incus, or ""anvil,"" is one of the three middle ear ossicles, located between the malleus and stapes.",Malleus,Incus,Stapes,Vomer,B
ENT,Ear,Ear,Grade of tympanic membrane retraction shown in the image based on Sade classification.,"Grade 2 tympanic membrane retraction touches the incus and stapes, indicating moderate retraction.",Grade 1,Grade 2,Grade 3,Grade 4,B
ENT,Ear,Ear,Identify the retractor depicted in the image provided.,Mastoid retractors are used during ear surgeries to provide better exposure of the mastoid region.,Joli’s retractor,Perkins retractor,Mastoid retractor,Langenbeck retractor,C
ENT,Ear,Ear,An audiogram of a 30-year-old female is given. Diagnosis is?,"Noise-induced hearing loss typically presents as a characteristic notch in the audiogram, especially if there is exposure to loud sounds. Without the audiogram image, this option is presumed based on age and typical audiometric findings.",Otosclerosis,Meniere's disease,Noise-induced hearing loss,Presbycusis,C
ENT,Ear,Ear,"A 50-year-old male presented with vertigo, tinnitus and hearing loss. The audiogram is given below. What is the most likely diagnosis based on the given image?","The combination of vertigo, tinnitus, and fluctuating hearing loss is classic for Meniere's disease. This is typically reflected in audiograms with low-frequency hearing loss. BPPV does not cause tinnitus or hearing loss, and vestibular neuronitis does not typically present with tinnitus.",BPPV,Meniere's disease,Vestibular neuronitis,Presbycusis,B
Embryology,General,Embryology,The image shown below occurs due to a lack of fusion of which prominence?,Failure of fusion between the medial nasal prominence and maxillary prominence leads to cleft lip and palate.,Lateral nasal prominence and maxillary prominence,Lateral nasal prominence and mandibular prominence,Medial nasal prominence and maxillary prominence,Medial nasal prominence and mandibular prominence,A
Embryology,General,Embryology,What is the underlying embryological cause of the developmental abnormalities depicted in the image provided?,Failure in closure of anterior neuropore of neural tube leads to cranioschisis or cranial dysraphism.,Failure in closure of anterior neuropore of neural tube,Failure in closure of posterior neuropore of neural tube,Failure in closure of complete neural tube,Failure in closure of caudal neuropore of neural tube,A
Embryology,General,Embryology,"Please identify the structure indicated in the diagram, which represents the progression of ovarian follicles during development.",The structure is a secondary follicle (antral follicle) formed during the development of primordial follicles.,Primary follicle,Antral follicle,Primordial follicle,Corpus luteum,B
Embryology,General,Embryology,The structure marked with the asterisk in the electron micrograph indicates,"Pre-synaptic secretory vesicles store and transport neurotransmitters, playing a key role in neurotransmission.",Mitochondria,Golgi bodies,Pre synaptic Secretory vesicles,Ribosomes,C
Emergency Medicine,Emergency,Emergency Medicine,"What are the most appropriate tests to perform in a 62-year-old male patient with heart failure who is scheduled for a heart transplant and experiences severe respiratory distress four hours after receiving 2 units of whole blood transfusion, and is found to be hypoxemic, tachycardic, and with elevated mean arterial pressure, considering that his renal function test is abnormal and his hemoglobin level is 6gm%? 1. Chest X-ray 2. Brain natriuretic peptide (BNP) level 3. Absolute neutrophil count 4. Leucocyte antibodies 5. Platelets",Chest X-ray and BNP levels are essential investigations for respiratory distress post-transfusion.,A. 4 and 5,B. 3 and 5,C. 1 and 2,D. 2 only,C
Emergency Medicine,Emergency,Emergency Medicine,A patient who is a tour guide of Mount Everest presented with blisters on her hand as shown in the figure below. She has severe pain and on examination is erythematous and tender. Which of the following is used in the management of this patient?,"NSAIDs relieve pain and inflammation associated with blisters, aiding overall management.",A. Oxygen,B. Apply heat to the area and cast it as soon as possible,C. Pentoxyphylline,D. NSAIDs,D
Emergency Medicine,Emergency,Emergency Medicine,"In a post-operative patient, after 2 hours of receiving FFP, sudden onset dyspnea, hypoxemia, tachypnea, hypotension, and bilateral pulmonary infiltrates on chest X-ray occur. What is the most likely diagnosis?","TRALI is characterized by acute respiratory distress following a blood transfusion, not related to TACO, ARDS, or sepsis.",A. TRALI,B. TACO,C. Pulmonary edema,D. ARDS,A
Endocrinology,Endocrine Disorders,Endocrine,A 30-year-old female patient presented with bone pain and abdominal cramps. Her family reported a previous history of abnormal behavior. The consultant doctor made a tentative diagnosis based on the clinical symptoms. What would be the most appropriate investigative method to establish a conclusive diagnosis?,"The presence of bone pain, abdominal cramps, and abnormal behavior indicates primary hyperparathyroidism, commonly caused by parathyroid adenoma. A sestamibi scan is best for diagnosis.",MRI,Ultrasonogram,Sestamibi scan,CT scan,A
Endocrinology,Endocrine Disorders,Endocrine,"In a female patient with bronchial asthma, who arrives at the emergency department experiencing intense restlessness, palpitations, and tremors, an examination reveals a swollen neck. Additionally, her blood pressure is elevated, and tachycardia is observed. The ECG results indicate atrial fibrillation. Which medication should be administered promptly for the initial treatment of this patient?",Propylthiouracil (PTU) is indicated for treating hyperthyroidism and thyroid storm as it inhibits the conversion of thyroxine (T4) to triiodothyronine (T3) by inhibiting the enzyme thyroid peroxidase. Alternative: Methimazole can be used if PTU is not available.,Diltiazem,Propranolol,Esmolol,Propylthiouracil,D
Endocrinology,Endocrine Disorders,Endocrine,"The patient in question is a 25-year-old male who presented with symptoms of palpitations, sweating, and restlessness. He also mentioned experiencing sweaty palms. The image provided below displays the clinical examination findings. Which diagnostic test is performed on this patient?","Grave’s disease is an autoimmune disorder that causes overproduction of thyroid hormones due to thyroid receptor antibodies that mimic TSH, leading to excess thyroid hormone secretion. This is the gold standard test for confirming the presence of Grave’s disease.",Anti-thyroglobulin antibody,Anti-thyroid peroxidase antibody,Thyroid receptor antibody,Elevated ultrasensitive thyrotropin levels,C
Endocrinology,Endocrine Disorders,Endocrine,"All of the following are tests done for screening in patients with Turner's syndrome, except?","The ANA test detects autoantibodies and is primarily used for autoimmune conditions. Audiometry, echocardiography, and fasting blood glucose are essential components of screening Turner syndrome patients due to associated risks like hearing loss, cardiovascular abnormalities, and metabolic diseases.",ANA,Audiometry,Echocardiography,Fasting blood glucose,A
Endocrinology,Endocrine Disorders,Endocrine,"What could be the possible reason for a diabetic patient to greet with a ""namaste"" gesture upon entering your clinic? (Image provided)","Cheiroarthropathy is a condition commonly associated with diabetes mellitus. It refers to a thickening and tightening of the skin over the hands, resulting in limited joint mobility. This condition can cause difficulty in fully extending the fingers, leading to a characteristic hand posture resembling the ""namaste"" gesture. Cheiroarthropathy is thought to be related to long-standing poor glycemic control and the accumulation of advanced glycation end-products (AGEs).",Flexor tenosynovitis,Cheiroarthropathy,Dupuytrens contracture,Ankyloses,B
Endocrinology,Endocrine Disorders,Endocrine,What is the main physical finding of prolactinoma that follows galactorrhea in a 19-year-old nulligravida woman who has been experiencing milk discharge from her nipples for the last 5 months and is diagnosed with prolactinoma?,"Prolactinomas are benign tumors of the pituitary gland that secrete excessive amounts of prolactin, a hormone responsible for milk production. Bitemporal hemianopia refers to a visual field defect where there is loss of peripheral vision in both the outer (temporal) sides. Prolactinomas can cause compression of the optic chiasm, which is located near the pituitary gland. This compression can result in bitemporal hemianopia as a characteristic physical finding of prolactinoma.",Bitemporal hemianopia,Anovulatory cycles,Amenorrhea,Infertility,A
Endocrinology,Endocrine Disorders,Endocrine,"A 56-year-old woman presented with a gradually diminishing visual field. She was found to have a pituitary mass and underwent trans-sphenoidal hypophysectomy. Now she has low levels of ACTH, TSH, FSH and LH. Which of the following hormone supplements is not needed in the patient postoperatively?","Mineralocorticoids, such as aldosterone, are responsible for regulating electrolyte and water balance in the body. They are not produced by the pituitary gland but rather by the adrenal cortex. Therefore, the patient's deficiency in ACTH will not directly affect mineralocorticoid production. Hence, mineralocorticoid supplementation is not needed in this case.",Mineralocorticoids,Thyroid hormones,Glucocorticoids,Estradiol,A
Endocrinology,Endocrine Disorders,Endocrine,What is the disease depicted in the image below?,"Cushing’s syndrome results from chronic exposure to glucocorticoids, presenting with symptoms such as moon facies, striae, abnormal masculinization, proximal muscle weakness, hypertension, osteoporosis, hyperpigmentation, sepsis, and hyperglycemia.",Acromegaly,PCOS,Cushing’s syndrome,Advanced obesity,C
Endocrinology,Endocrine Disorders,Endocrine Pharma,Which of the following disease-modifying antirheumatic drugs (DMARDs) necessitates frequent monitoring of visual acuity and fundus examination?," • Hydroxychloroquine is an antimalarial drug commonly used as a Disease-Modifying Antirheumatic
 Drug (DMARD) in the treatment of rheumatoid arthritis and other autoimmune conditions. It is known to
 have potential ocular side effects, particularly on the retina. Therefore, regular monitoring of visual
 acuity and fundus examination is recommended to detect any changes in the eye.
 • The reason for monitoring visual acuity and fundus examination in patients using hydroxychloroquine
 is to screen for a rare but potentially serious side effect called retinal toxicity. Prolonged use of
 hydroxychloroquine can lead to damage to the retina, which can cause visual impairment or loss of
 vision.",Methotrexate,Hydroxychloroquine,Sulfasalazine,Leflunomide,B
Endocrinology,Endocrine Disorders,Endocrine Surgery,"A 59-year-old lady presents with a progressive, painless lump in the breast. What is the cause for the following skin change?","Correct Option A - Infiltration of subdermal lymphatics: → Peau d'orange refers to the dimpled, pitted appearance of the breast skin resembling the texture of an orange peel, as shown in the image. This occurs due to lymphatic obstruction and subsequent edema. → In breast cancer, infiltration of subdermal lymphatics is a common occurrence. This infiltration leads to lymphatic obstruction, which manifests clinically as cutaneous edema. → The lymphatic obstruction caused by tumor cells entering the lymphatics of the skin is responsible for the characteristic appearance known as Peau d'orange (French for ""orange peel skin""). → Infiltration of subdermal lymphatics compromises the normal drainage of lymph fluid from the breast tissue, leading to the accumulation of fluid in the interstitial spaces and resulting in the characteristic skin changes.",Infiltration of subdermal lymphatics,Infiltration of the lactiferous duct,Involvement of Cooper’s ligament,Spread of the tumor to the anterior chest wall,A
Endocrinology,Endocrine Disorders,Endocrine Surgery,A male patient presented with midline neck swelling. He later developed cervical node enlargement. The histopathology of the lesion is shown below. Which of the following statements is false about this condition?,"Correct Option D - Fine needle aspiration cytology (FNAC) is not diagnostic: → The histopathology shows empty-appearing nuclei with central clearing (“Orphan Annie” eyes), which is a characteristic finding of papillary carcinoma of the thyroid. → Fine needle aspiration cytology (FNAC) is a minimally invasive and highly accurate diagnostic tool for papillary carcinoma of the thyroid. → It is often used as the first-line investigation to diagnose thyroid nodules and can differentiate between benign and malignant lesions with high accuracy.",Excellent prognosis is associated with this condition,It spreads quickly via lymphatics,Nuclear characteristics are used for the identification,Fine needle aspiration cytology (FNAC) is not diagnostic,D
Endocrinology,Endocrine Disorders,Endocrine Surgery,What is the probable diagnosis for a 73-year-old male smoker with a previous history of coronary artery disease who is experiencing blackening of the toes as shown in the image?,"Correct Option B - Atherosclerosis: → Age of patient is 73 yr ,so correct option will be B → In the given image the blackening of the toes is likely due to compromised blood flow caused by the buildup of plaques within the arteries. → Atherosclerosis is a condition characterized by the accumulation of fatty deposits, cholesterol, and other substances on the inner walls of the arteries, leading to reduced blood flow to the affected area. → In this case, the patient's history of coronary artery disease, which is commonly associated with atherosclerosis, further supports this diagnosis.",Buerger's disease,Atherosclerosis,Raynaud's disease,Giant cell arteritis,B
Endocrinology,Endocrine Disorders,Endocrine Surgery,"A 55-year-old male patient presents with hematuria and a neovascular mass in the left kidney on a CT scan, as shown below. What is the diagnosis?","Correct Option C - Renal angiomyolipoma: → Renal angiomyolipoma is a benign tumor that consists of blood vessels, smooth muscle cells, and fat cells. → It can cause hematuria, and on imaging studies like a CT scan, it often appears as a neovascular mass due to the presence of blood vessels. → Renal angiomyolipoma is commonly associated with a genetic condition called tuberous sclerosis complex (TSC).",Renal cell carcinoma,Renal oncocytoma,Renal angiomyolipoma,Renal cyst,C
Endocrinology,Endocrine Disorders,Endocrine Surgery,Which of the following is the best imaging modality to diagnose neuroendocrine tumors?,"Correct Option D - PET → PET (Positron Emission Tomography) imaging with specific radiotracers, such as gallium-68, is considered highly effective in diagnosing neuroendocrine tumors. → It provides functional information about the metabolic activity of the tumors, aiding in accurate localization and characterization. → PET imaging with gallium-68 is particularly useful when other negative imaging tests and minimally invasive surgical approaches are being considered. → This modality helps detect even small lesions and provides valuable information for treatment planning.",USG,CT,MRI,PET,D
Endocrinology,Endocrine Disorders,Endocrine Surgery,"A 25-year-old woman presents with a breast lump, no skin changes, and no indurations. On histology, there was a fibroadenoma appearance. Which of the following categories does it fall under?","Correct Option D - BIRADS 2: → A fibroadenoma, with its characteristic appearance and benign nature, falls under BIRADS 2, representing benign findings on imaging. → Incomplete assessment → Other assessment is required NA → Negative → Annual mammography is recommended 0% → Benign → Annual mammography is recommended → Probably benign → Short-term follow up is recommended > 0-2% → Suspicious → Biopsy is recommended → It is further divided into: 4A - Low suspicion 4B - Moderate suspicion 4C - High suspicion → 4A - Low suspicion → 4B - Moderate suspicion → 4C - High suspicion → 4A - Low suspicion → 4B - Moderate suspicion → 4C - High suspicion 4A: > 2-10% 4B: > 10-50% 4C: > 50-90% → Highly suggestive of malignancy → Intervention is recommended > 95% → Biopsy proven malignancy",BIRADS 1 and 2,BIRADS 2 or 4,"BIRADS 2,3,4",BIRADS 2,D
Endocrinology,Endocrine Disorders,Endocrine Surgery,"A lump in the breast is observed in a female patient. Among the options listed below, all but one can be employed to exclude the presence of cancer. Which one is not applicable for this purpose?","Correct Option B - PET scan: → While a PET (positron emission tomography) scan is a useful tool in cancer diagnosis and staging, it is not typically employed as a first-line investigation for evaluating breast lumps. It may be more commonly used in other cancers, such as lung or colorectal cancer, where it can detect metastases or assess the extent of the disease.",Radiological investigations,PET scan,Clinical examination,Histology and cytology,B
Endocrinology,Endocrine Disorders,Endocrine Surgery,"A 45-year-old patient presents with complaints of dysuria and intermittent back pain. On examination, there are no palpable abdominal masses or tenderness. An X-ray image of the abdomen is shown. What is the most likely diagnosis?","Correct Option A - PTH adenoma: → The correct diagnosis based on the X-ray image provided is a PTH adenoma. → PTH adenoma, also known as parathyroid adenoma, is a benign tumor of the parathyroid glands. → It is a common cause of primary hyperparathyroidism, leading to increased secretion of parathyroid hormone (PTH) and resulting in hypercalcemia. → Patients with PTH adenoma may present with symptoms such as dysuria and back pain, which are consistent with the clinical scenario mentioned in the question.",PTH adenoma,Wilm's tumor,Renal cell carcinoma,Lipoma,A
Endocrinology,Endocrine Disorders,Endocrine Surgery,"What is the probable diagnosis for a patient who previously had surgery for breast carcinoma and is currently experiencing painless swelling in the arm, as depicted in the image provided?","Correct Option A - Lymphedema: → The given image is of Lymphedema → It is a common complication that can occur after procedures such as mastectomy (partial or total removal of the breast) or axillary lymph node dissection (removal of the lymph nodes in the armpit). → During breast cancer surgery, the removal of lymph nodes or damage to the lymphatic vessels can disrupt the normal flow of lymphatic fluid, leading to the accumulation of fluid in the affected area. This can result in swelling, discomfort, heaviness, and limited range of motion in the arm, chest, or breast region on the side of the surgery. → The risk of developing lymphedema after breast cancer surgery can vary depending on factors such as the extent of surgery, radiation therapy, obesity, infection, and pre-existing lymphatic abnormalities. Not all individuals who undergo breast cancer surgery will develop lymphedema, but it is important to be aware of the risk and take preventive measures.",Lymphedema,Lymphangiosarcoma,Venous thrombosis,Cellulitis,A
Endocrinology,Endocrine Disorders,Endocrine Surgery,Which of the following is true about the flap given in the image?,"Correct Option C - DIEP based on deep inferior epigastric artery: → The DIEP flap procedure, which stands for Deep Inferior Epigastric Perforator, involves the transfer of skin and fat from the lower abdomen to reconstruct the breast. → The blood supply for the flap is derived solely from the deep inferior epigastric artery, preserving the rectus abdominis muscle. → This option accurately describes the flap shown in the image.",Pedicled TRAM based on superior epigastric artery,Free TRAM based on superior and inferior epigastric artery,DIEP based on deep inferior epigastric artery,Lower Abdominal Fat based inferior epigastric vessels,C
Endocrinology,Endocrine Disorders,Endocrine Surgery,What could be the most likely reason for a patient presenting with chronic non-pitting edema in the lower extremities?,"Correct Option A - Lymphedema: Lymphedema is the most probable cause of long-standing non-pitting edema in the legs. → Lymphedema is a condition characterized by swelling due to the accumulation of lymph fluid. It occurs when there is damage or obstruction to the lymphatic system, leading to impaired drainage of lymph fluid from tissues. → Clinical Presentation: Patients with lymphedema typically present with chronic, progressive swelling in one or more limbs, such as the legs. The edema in lymphedema is usually non-pitting, meaning that pressure applied to the swollen area does not leave an indentation. → Etiology: Lymphedema can be primary or secondary. Primary lymphedema is due to developmental abnormalities or genetic factors affecting the lymphatic system. Secondary lymphedema is more common and often results from surgery, radiation therapy, infection, trauma, or tumors that obstruct lymphatic flow. → Complications: Chronic lymphedema can lead to various complications, including discomfort, pain, recurrent infections (bacterial or fungal), cellulitis, lymphangiosarcoma (a rare form of cancer), and skin changes such as thickening and discoloration. → Diagnosis: Lymphedema is primarily diagnosed clinically, based on history and physical examination. However, in cases of atypical presentation or severe lymphedema with complications, further investigation, such as lymphangiography, may be required to assess lymphatic function and identify underlying causes.",Lymphedema,Arterial Disorders,Venous Disorders,Coronary heart disease,A
Endocrinology,Endocrine Disorders,Endocrine Surgery,"A 30-year-old lactating mother presents with pain in her left breast and a fever. On examination of the affected side, there is localized erythema, warmth, and point tenderness, the fluctuation test is positive. There is mild axillary lymphadenopathy on the affected side and the contralateral breast is normal. Repeated aspirations under antibiotic cover were unsuccessful. A USG done showed fluid collection. What is the management plan for this patient?","Correct Option A - Incision and drainage: → The affected breast appears engorged. → Skin erythema is evident in the provided image. → Breast abscess commonly affects lactating females, primarily those experiencing breastfeeding difficulties. → Staphylococcus aureus is the predominant organism causing breast abscesses. → Pain and tenderness typically accompany pus accumulation in the body. → Clinical Presentation: Symptoms include pain, tenderness, engorgement, and skin redness in the affected breast. Fever accompanied by chills and rigor may also manifest. → Symptoms include pain, tenderness, engorgement, and skin redness in the affected breast. → Fever accompanied by chills and rigor may also manifest. → Treatment: Treatment involves incision and drainage coupled with antibiotic therapy. It is necessary to perform incision and drainage with failure of antibiotic aspirations. Cloxacillin or Dicloxacillin is the preferred first-line antibiotic, administered for 10-14 days. → Treatment involves incision and drainage coupled with antibiotic therapy. It is necessary to perform incision and drainage with failure of antibiotic aspirations. → Cloxacillin or Dicloxacillin is the preferred first-line antibiotic, administered for 10-14 days. → Symptoms include pain, tenderness, engorgement, and skin redness in the affected breast. → Fever accompanied by chills and rigor may also manifest. → Treatment involves incision and drainage coupled with antibiotic therapy. It is necessary to perform incision and drainage with failure of antibiotic aspirations. → Cloxacillin or Dicloxacillin is the preferred first-line antibiotic, administered for 10-14 days.",Incision and drainage,Broad spectrum antibiotics only,Breast conservation surgery,Punch biopsy,A
Endocrinology,Endocrine Disorders,Endocrine Surgery,"A 23-year-old woman presents to the surgery out-patient with a left-sided breast lump, which she noticed on a self-breast examination 3 weeks ago. She has no other complaints. On palpation, the lump seems to be mobile and firm. FNAC is characterized by stromal and epithelial elements with no signs of malignancy. What is the best next step in management?","Correct Option B - Reassurance and follow-up: → Since the patient is a young woman presenting with a mobile and firm breast lump, and FNAC results do not indicate malignancy, the most appropriate next step in management is reassurance and regular follow-up. This approach is based on the understanding that the most common cause of breast lumps in this age group is fibroadenoma, which is benign in nature. → Aberrations in Normal Development and Involution: The most common types of ANDI in different age groups: 15-25 years- Fibroadenoma 25-40 years- Fibro-adenosis > 40 years- Fibro-adenosis followed by duct ectasia. → The most common types of ANDI in different age groups: 15-25 years- Fibroadenoma 25-40 years- Fibro-adenosis > 40 years- Fibro-adenosis followed by duct ectasia. → 15-25 years- Fibroadenoma → 25-40 years- Fibro-adenosis → > 40 years- Fibro-adenosis followed by duct ectasia. → The most common types of ANDI in different age groups: 15-25 years- Fibroadenoma 25-40 years- Fibro-adenosis > 40 years- Fibro-adenosis followed by duct ectasia. → 15-25 years- Fibroadenoma → 25-40 years- Fibro-adenosis → > 40 years- Fibro-adenosis followed by duct ectasia. → 15-25 years- Fibroadenoma → 25-40 years- Fibro-adenosis → > 40 years- Fibro-adenosis followed by duct ectasia. Incorrect Options : Option A , C and D - Fibroadenomas are benign, non-cancerous lesions. So it doesn't need a mammography, surgical excision, or tamoxifen.",Mammography,Reassurance and follow-up,Surgical excision,Start Tamoxifen,B
Endocrinology,Endocrine Disorders,Endocrine Surgery,The following drain is placed after mastectomy. Identify the type of drain.,"Correct Option B - Closed: → The image of Romovac drain is a type of closed drain system commonly used after mastectomy. → It consists of a plastic drain tube connected to a collection bulb or container. → The drain tube is inserted into the surgical site to facilitate the removal of fluid or blood. → The collection bulb is designed to create negative pressure or suction, which helps in the drainage process. → The closed system helps prevent air from entering the drain, reducing the risk of infection and maintaining a sterile environment.",Open,Closed,Semi open,Semi closed,B
Endocrinology,Endocrine Disorders,Endocrine Surgery,"What would be the appropriate next step in the management of a 55-year-old female patient who has a 4x3 cm lump in the right upper outer quadrant, with no involvement of axillary lymph nodes, and a BIRADS 4b staging on mammography? The patient underwent breast conservation surgery, and the final histopathology examination (HPE) report indicated high nuclear-grade ductal carcinoma in situ (DCIS) with necrosis and a 10mm margin clearance.","Correct Option (A): Adjuvant Radiotherapy → Adjuvant radiotherapy is the appropriate management option following breast conservation surgery for high nuclear-grade DCIS with necrosis and margin clearance. → DCIS (Ductal Carcinoma In-situ) is a pre-invasive form of breast cancer where abnormal cells are found in the lining of a breast duct but have not spread outside the duct to invade surrounding breast tissue. → High nuclear grade DCIS with necrosis indicates a more aggressive form of the disease. → Margin clearance of 10mm suggests that the surgical margins around the tumor are clear of cancer cells, reducing the risk of local recurrence. → Adjuvant radiotherapy helps to further reduce the risk of recurrence by targeting any remaining cancer cells in the breast tissue. → It is important to note that adjuvant radiotherapy following breast conservation surgery has been shown to significantly decrease the risk of ipsilateral (same side) breast cancer recurrence.",Adjuvant radiotherapy,Adjuvant chemotherapy,Follow up 6 monthly for 2 years and then yearly follow up,Trastuzumab therapy,A
